bin_id,n_wells,centroid_lat,centroid_lon,radius_km
g0_1,40,37.16834159,-101.94373882,20.486
g0_2,10,37.47552046,-101.95811942,36.123
g0_3,14,38.03222199,-101.98921495,35.119
g0_4,17,38.66978485,-102.01367548,23.704
g10_1,1728,37.26810591,-95.60288142,44.749
g10_2,2097,37.69397147,-95.57098215,51.247
g10_3,228,38.12445858,-95.71416675,31.831
g10_4,31,38.74894120,-95.59232222,39.645
g10_5,25,39.42076035,-95.91787947,38.234
g10_6,90,39.84975938,-95.83953213,28.103
g11_1,276,37.38100594,-95.22947986,46.470
g11_2,1092,37.72797578,-95.11775671,47.476
g11_3,686,38.28617802,-95.14504889,34.127
g11_4,179,38.66831283,-94.99320485,39.488
g11_5,37,39.37275259,-95.10744334,59.792
g12_2,24,37.76908279,-94.64575813,47.880
g12_4,14,38.61792541,-94.65227890,8.710
g1_1,367,37.21330715,-101.58360700,36.909
g1_2,582,37.56852576,-101.61788489,46.197
g1_3,223,38.09017891,-101.56094095,40.695
g1_4,173,38.66893722,-101.68835382,39.103
g1_5,70,39.19464298,-101.57267783,49.312
g1_6,301,39.70505297,-101.66551787,38.905
g1_7,79,39.97217965,-101.54965380,35.949
g2_1,495,37.23150846,-101.00169349,42.249
g2_2,799,37.62475934,-100.91516579,37.730
g2_3,698,38.15694563,-100.98848259,41.584
g2_4,1015,38.70012845,-100.93887548,42.413
g2_5,609,39.12081801,-100.97189075,45.315
g2_6,332,39.73770760,-101.09836633,42.083
g2_7,123,39.97304366,-101.27425793,32.848
g3_1,134,37.16882939,-100.35554689,38.458
g3_2,240,37.61824537,-100.26271845,43.785
g3_3,486,38.29189274,-100.20936189,50.575
g3_4,1041,38.65068164,-100.29231570,43.657
g3_5,444,39.21983620,-100.25520359,45.865
g3_6,282,39.73424608,-100.43111091,41.394
g4_1,264,37.27884600,-99.52996706,41.019
g4_2,418,37.67028675,-99.58550619,43.153
g4_3,1205,38.25196200,-99.71402107,43.493
g4_4,878,38.73254987,-99.60533164,43.305
g4_5,1210,39.22144506,-99.65889652,40.010
g4_6,454,39.70423730,-99.69976056,40.942
g5_1,667,37.22472518,-98.79126064,46.993
g5_2,443,37.71583419,-98.90246190,42.916
g5_3,676,38.24594729,-98.92962729,41.977
g5_4,1307,38.74026157,-98.99007852,40.095
g5_5,761,39.14470832,-99.13708684,42.407
g5_6,41,39.77213837,-99.18912167,40.087
g6_1,735,37.17957454,-98.36078558,44.857
g6_2,388,37.71619760,-98.42008902,46.039
g6_3,800,38.27336215,-98.43243287,43.910
g6_4,396,38.63560328,-98.47125604,41.383
g6_5,42,39.27961890,-98.49597381,81.403
g7_1,540,37.28485420,-97.53006094,48.922
g7_2,140,37.78284384,-97.68155281,39.848
g7_3,208,38.14693391,-97.67723877,47.215
g7_4,40,38.68568972,-97.60590092,38.618
g8_1,471,37.19823977,-96.91013047,44.583
g8_2,255,37.81586153,-96.98713831,37.038
g8_3,143,38.23766555,-96.95468930,39.355
g8_4,36,38.59825319,-96.98086999,39.085
g8_5,26,39.42434887,-97.22720342,70.004
g9_1,362,37.20729990,-96.25071496,43.864
g9_2,161,37.78316089,-96.33158948,42.239
g9_3,157,38.10779922,-96.29159876,46.912
g9_4,132,38.77892599,-96.30125011,39.493
g9_5,77,39.17679950,-96.31932272,43.596
g9_6,10,39.65016133,-96.11765313,46.385
